Title,Fermi,Ticks,Label,HSP,Energy
,,,,0.775,-23.1065
,,,,0.8,-23.1062
,,,,0.825,-23.1058
,,,,0.85,-23.1055
,,,,0.875,-23.1052
,,,,0.9,-23.1049
,,,,0.925,-23.1047
,,,,0.95,-23.1045
,,,,0.975,-23.1044
,,,,1,-23.1044
,,,,1.0354,-23.1044
,,,,1.0707,-23.1047
,,,,1.1061,-23.105
,,,,1.1414,-23.1055
,,,,1.1768,-23.106
,,,,1.2121,-23.1066
,,,,1.2475,-23.1073
,,,,1.2828,-23.1081
,,,,1.3182,-23.1088
,,,,1.3536,-23.1095
,,,,1.3889,-23.1103
,,,,1.4243,-23.111
,,,,1.4596,-23.1117
,,,,1.495,-23.1123
,,,,1.5303,-23.1129
,,,,1.5657,-23.1134
,,,,1.601,-23.1138
,,,,1.6364,-23.114
,,,,1.6718,-23.1142
,,,,1.7071,-23.1142
,,,,1.731,-23.1148
,,,,1.7549,-23.1162
,,,,1.7788,-23.1186
,,,,1.8027,-23.1219
,,,,1.8266,-23.126
,,,,1.8506,-23.1307
,,,,1.8745,-23.136
,,,,1.8984,-23.1418
,,,,1.9223,-23.1477
,,,,1.9462,-23.1539
,,,,1.9701,-23.1602
,,,,1.994,-23.1662
,,,,2.0179,-23.1719
,,,,2.0418,-23.1771
,,,,2.0657,-23.1818
,,,,2.0896,-23.1858
,,,,2.1135,-23.189
,,,,2.1375,-23.1913
,,,,2.1614,-23.1927
,,,,2.1853,-23.1932
,,,,2.2103,-23.1932
,,,,2.2353,-23.193
,,,,2.2603,-23.1928
,,,,2.2853,-23.1925
,,,,2.3103,-23.1921
,,,,2.3353,-23.1917
,,,,2.3603,-23.1912
,,,,2.3853,-23.1907
,,,,2.4103,-23.1901
,,,,2.4353,-23.1895
,,,,2.4603,-23.189
,,,,2.4853,-23.1884
,,,,2.5103,-23.1878
,,,,2.5353,-23.1873
,,,,2.5603,-23.1869
,,,,2.5853,-23.1865
,,,,2.6103,-23.1862
,,,,2.6353,-23.1859
,,,,2.6603,-23.1858
,,,,2.6853,-23.1857
,,,,2.7103,-23.1857
,,,,2.7353,-23.1856
,,,,2.7603,-23.1854
,,,,2.7853,-23.1852
,,,,2.8103,-23.185
,,,,2.8353,-23.1847
,,,,2.8603,-23.1843
,,,,2.8853,-23.1839
,,,,2.9103,-23.1835
,,,,2.9353,-23.1831
,,,,2.9603,-23.1827
,,,,2.9853,-23.1822
,,,,3.0103,-23.1818
,,,,3.0353,-23.1814
,,,,3.0603,-23.1811
,,,,3.0853,-23.1808
,,,,3.1103,-23.1805
,,,,3.1353,-23.1803
,,,,3.1603,-23.1802
,,,,3.1853,-23.1802
,,,,3.2206,-23.1803
,,,,3.256,-23.1805
,,,,3.2913,-23.1808
,,,,3.3267,-23.1814
,,,,3.362,-23.182
,,,,3.3974,-23.1827
,,,,3.4328,-23.1835
,,,,3.4681,-23.1844
,,,,3.5035,-23.1854
,,,,3.5388,-23.1864
,,,,3.5742,-23.1874
,,,,3.6095,-23.1884
,,,,3.6449,-23.1894
,,,,3.6802,-23.1903
,,,,3.7156,-23.1911
,,,,3.751,-23.1918
,,,,3.7863,-23.1924
,,,,3.8217,-23.1929
,,,,3.857,-23.1931
,,,,3.8924,-23.1932
,,,,3.8924,-23.1091
,,,,3.9163,-23.1096
,,,,3.9402,-23.1111
,,,,3.9641,-23.1134
,,,,3.988,-23.1166
,,,,4.0119,-23.1205
,,,,4.0358,-23.1252
,,,,4.0597,-23.1303
,,,,4.0836,-23.1359
,,,,4.1076,-23.1418
,,,,4.1315,-23.1478
,,,,4.1554,-23.1537
,,,,4.1793,-23.1596
,,,,4.2032,-23.1651
,,,,4.2271,-23.1702
,,,,4.251,-23.1747
,,,,4.2749,-23.1785
,,,,4.2988,-23.1816
,,,,4.3227,-23.1839
,,,,4.3466,-23.1853
,,,,4.3705,-23.1857
,,,,4.3705,-23.1044
,,,,4.3945,-23.1048
,,,,4.4184,-23.1062
,,,,4.4423,-23.1086
,,,,4.4662,-23.1117
,,,,4.4901,-23.1156
,,,,4.514,-23.1201
,,,,4.5379,-23.1253
,,,,4.5618,-23.1308
,,,,4.5857,-23.1366
,,,,4.6096,-23.1425
,,,,4.6335,-23.1484
,,,,4.6574,-23.1543
,,,,4.6814,-23.1597
,,,,4.7053,-23.1648
,,,,4.7292,-23.1692
,,,,4.7531,-23.173
,,,,4.777,-23.1761
,,,,4.8009,-23.1784
,,,,4.8248,-23.1797
,,,,4.8487,-23.1802
,,,,,
,,,,0,-22.9508
,,,,0.025,-22.9516
,,,,0.05,-22.9541
,,,,0.075,-22.9582
,,,,0.1,-22.9638
,,,,0.125,-22.9708
,,,,0.15,-22.9789
,,,,0.175,-22.988
,,,,0.2,-22.9978
,,,,0.225,-23.008
,,,,0.25,-23.0185
,,,,0.275,-23.029
,,,,0.3,-23.0391
,,,,0.325,-23.0488
,,,,0.35,-23.0576
,,,,0.375,-23.0655
,,,,0.4,-23.0722
,,,,0.425,-23.0776
,,,,0.45,-23.0816
,,,,0.475,-23.084
,,,,0.5,-23.0848
,,,,0.525,-23.0848
,,,,0.55,-23.0846
,,,,0.575,-23.0844
,,,,0.6,-23.0842
,,,,0.625,-23.0838
,,,,0.65,-23.0834
,,,,0.675,-23.0829
,,,,0.7,-23.0824
,,,,0.725,-23.0819
,,,,0.75,-23.0813
,,,,0.775,-23.0808
,,,,0.8,-23.0802
,,,,0.825,-23.0797
,,,,0.85,-23.0793
,,,,0.875,-23.0789
,,,,0.9,-23.0785
,,,,0.925,-23.0782
,,,,0.95,-23.078
,,,,0.975,-23.0778
,,,,1,-23.0778
,,,,1.0354,-23.0771
,,,,1.0707,-23.0749
,,,,1.1061,-23.0712
,,,,1.1414,-23.0662
,,,,1.1768,-23.06
,,,,1.2121,-23.0527
,,,,1.2475,-23.0445
,,,,1.2828,-23.0356
,,,,1.3182,-23.0261
,,,,1.3536,-23.0162
,,,,1.3889,-23.0063
,,,,1.4243,-22.9965
,,,,1.4596,-22.9871
,,,,1.495,-22.9783
,,,,1.5303,-22.9704
,,,,1.5657,-22.9637
,,,,1.601,-22.9581
,,,,1.6364,-22.9541
,,,,1.6718,-22.9516
,,,,1.7071,-22.9508
,,,,1.731,-22.9508
,,,,1.7549,-22.9507
,,,,1.7788,-22.9506
,,,,1.8027,-22.9505
,,,,1.8266,-22.9505
,,,,1.8506,-22.9503
,,,,1.8745,-22.9501
,,,,1.8984,-22.9499
,,,,1.9223,-22.9497
,,,,1.9462,-22.9495
,,,,1.9701,-22.9493
,,,,1.994,-22.9491
,,,,2.0179,-22.9489
,,,,2.0418,-22.9487
,,,,2.0657,-22.9486
,,,,2.0896,-22.9484
,,,,2.1135,-22.9483
,,,,2.1375,-22.9482
,,,,2.1614,-22.9482
,,,,2.1853,-22.9482
,,,,2.2103,-22.949
,,,,2.2353,-22.9515
,,,,2.2603,-22.9556
,,,,2.2853,-22.961
,,,,2.3103,-22.9678
,,,,2.3353,-22.9758
,,,,2.3603,-22.9847
,,,,2.3853,-22.9943
,,,,2.4103,-23.0044
,,,,2.4353,-23.0147
,,,,2.4603,-23.025
,,,,2.4853,-23.035
,,,,2.5103,-23.0445
,,,,2.5353,-23.0533
,,,,2.5603,-23.0611
,,,,2.5853,-23.0677
,,,,2.6103,-23.073
,,,,2.6353,-23.0769
,,,,2.6603,-23.0792
,,,,2.6853,-23.08
,,,,2.7103,-23.08
,,,,2.7353,-23.0799
,,,,2.7603,-23.0798
,,,,2.7853,-23.0795
,,,,2.8103,-23.0793
,,,,2.8353,-23.0789
,,,,2.8603,-23.0786
,,,,2.8853,-23.0782
,,,,2.9103,-23.0778
,,,,2.9353,-23.0774
,,,,2.9603,-23.077
,,,,2.9853,-23.0766
,,,,3.0103,-23.0762
,,,,3.0353,-23.0758
,,,,3.0603,-23.0755
,,,,3.0853,-23.0752
,,,,3.1103,-23.075
,,,,3.1353,-23.0748
,,,,3.1603,-23.0747
,,,,3.1853,-23.0747
,,,,3.2206,-23.0739
,,,,3.256,-23.0717
,,,,3.2913,-23.068
,,,,3.3267,-23.063
,,,,3.362,-23.0567
,,,,3.3974,-23.0494
,,,,3.4328,-23.0411
,,,,3.4681,-23.032
,,,,3.5035,-23.0224
,,,,3.5388,-23.0126
,,,,3.5742,-23.0027
,,,,3.6095,-22.993
,,,,3.6449,-22.9837
,,,,3.6802,-22.975
,,,,3.7156,-22.9673
,,,,3.751,-22.9607
,,,,3.7863,-22.9553
,,,,3.8217,-22.9514
,,,,3.857,-22.949
,,,,3.8924,-22.9482
,,,,3.8924,-23.0848
,,,,3.9163,-23.0848
,,,,3.9402,-23.0847
,,,,3.9641,-23.0846
,,,,3.988,-23.0844
,,,,4.0119,-23.0841
,,,,4.0358,-23.0839
,,,,4.0597,-23.0836
,,,,4.0836,-23.0832
,,,,4.1076,-23.0828
,,,,4.1315,-23.0825
,,,,4.1554,-23.0821
,,,,4.1793,-23.0817
,,,,4.2032,-23.0814
,,,,4.2271,-23.0811
,,,,4.251,-23.0808
,,,,4.2749,-23.0805
,,,,4.2988,-23.0803
,,,,4.3227,-23.0801
,,,,4.3466,-23.08
,,,,4.3705,-23.08
,,,,4.3705,-23.0778
,,,,4.3945,-23.0778
,,,,4.4184,-23.0777
,,,,4.4423,-23.0777
,,,,4.4662,-23.0776
,,,,4.4901,-23.0774
