Title,Fermi,Ticks,Label,HSP,Energy,Edos,Ba$(6s)$,Ba$(5p)$,Ba_tot,Ti$(4s)$,Ti$(3p)$,Ti$(3d)$,Ti_tot,O$(2s)$,O$(2p)$,O_tot,DOS
,,,,1.9503,-46.3167,-8,0,0,0,0,0,0,0,0,0,0,0
,,,,1.9746,-46.3166,-7.9,0,0,0,0,0,0,0,0,0,0,0
,,,,1.9989,-46.3166,-7.8,0,0,0,0,0,0,0,0,0,0,0
,,,,2.0232,-46.3165,-7.7,0,0,0,0,0,0,0,0,0,0,0
,,,,2.0475,-46.3165,-7.6,0,0,0,0,0,0,0,0,0,0,0
,,,,2.0718,-46.3164,-7.5,0,0,0,0,0,0,0,0,0,0,0
,,,,2.0962,-46.3164,-7.4,0,0,0,0,0,0,0,0,0,0,0
,,,,2.1205,-46.3164,-7.3,0,0,0,0,0,0,0,0,0,0,0
,,,,2.1448,-46.3163,-7.2,0,0,0,0,0,0,0,0,0,0,0
,,,,2.1691,-46.3163,-7.1,0,0,0,0,0,0,0,0,0,0,0
,,,,2.1934,-46.3163,-7,0,0,0,0,0,0,0,0,0,0,0
,,,,2.2184,-46.3163,-6.9,0.000952,0.00546,0.00641,0.0227,0.000247,0.00503,0.028,0.0873,0.000373,0.0877,0.122
,,,,2.2434,-46.3163,-6.8,0.041,0.0369,0.0779,0.17,0.00271,0.0334,0.206,0.724,0.00329,0.727,1.01
,,,,2.2684,-46.3163,-6.7,0.331,0.0733,0.405,0.476,0.012,0.0544,0.542,2.26,0.00798,2.26,3.21
,,,,2.2934,-46.3162,-6.6,0.0792,0.051,0.13,0.235,0.00981,0.0457,0.291,1.31,0.00587,1.31,1.73
,,,,2.3184,-46.3162,-6.5,0.0356,0.038,0.0736,0.162,0.0091,0.0439,0.215,1.09,0.0052,1.1,1.39
,,,,2.3434,-46.3161,-6.4,0.0168,0.0258,0.0426,0.107,0.00782,0.037,0.152,0.881,0.00415,0.885,1.08
,,,,2.3684,-46.316,-6.3,0.00783,0.0154,0.0232,0.0574,0.00635,0.0207,0.0844,0.597,0.00258,0.6,0.709
,,,,2.3934,-46.316,-6.2,0.00369,0.00954,0.0132,0.0293,0.0054,0.0109,0.0456,0.429,0.00159,0.43,0.49
,,,,2.4184,-46.3159,-6.1,0.0129,0.0397,0.0526,0.0178,0.0187,0.0251,0.0616,1.2,0.0061,1.21,1.33
,,,,2.4434,-46.3158,-6,0.0574,0.0302,0.0876,0.0208,0.0418,0.306,0.369,4.11,0.00832,4.12,4.59
,,,,2.4684,-46.3157,-5.9,0.0804,0.127,0.207,0.012,0.0795,0.385,0.476,7.19,0.0266,7.21,7.92
,,,,2.4934,-46.3156,-5.8,0.0985,0.028,0.127,0.00175,0.0399,0.0312,0.0729,2.51,0.00627,2.51,2.73
,,,,2.5184,-46.3156,-5.7,0,0,0,0,0,0,0,0,0,0,0
,,,,2.5434,-46.3155,-5.6,0,0,0,0,0,0,0,0,0,0,0
,,,,2.5684,-46.3154,-5.5,0,0,0,0,0,0,0,0,0,0,0
,,,,2.5934,-46.3154,-5.4,0,0,0,0,0,0,0,0,0,0,0
,,,,2.6184,-46.3153,-5.3,0,0,0,0,0,0,0,0,0,0,0
,,,,2.6434,-46.3153,-5.2,0,0,0,0,0,0,0,0,0,0,0
,,,,2.6684,-46.3153,-5.1,0,0,0,0,0,0,0,0,0,0,0
,,,,2.6934,-46.3153,-5,0,0,0,0,0,0,0,0,0,0,0
,,,,2.7184,-46.3153,-4.9,0,0,0,0,0,0,0,0,0,0,0
,,,,2.7434,-46.3153,-4.8,0,0,0,0,0,0,0,0,0,0,0
,,,,2.7684,-46.3152,-4.7,0,0,0,0,0,0,0,0,0,0,0
,,,,2.7934,-46.3152,-4.6,0,0,0,0,0,0,0,0,0,0,0
,,,,2.8184,-46.3151,-4.5,0,0,0,0,0,0,0,0,0,0,0
,,,,2.8434,-46.3151,-4.4,0,0,0,0,0,0,0,0,0,0,0
,,,,2.8684,-46.315,-4.3,0,0,0,0,0,0,0,0,0,0,0
,,,,2.8934,-46.3149,-4.2,0,0,0,0,0,0,0,0,0,0,0
,,,,2.9184,-46.3148,-4.1,0,0,0,0,0,0,0,0,0,0,0
,,,,2.9434,-46.3148,-4,0,0,0,0,0,0,0,0,0,0,0
,,,,2.9684,-46.3147,-3.9,0,0,0,0,0,0,0,0,0,0,0
,,,,2.9934,-46.3146,-3.8,0,0,0,0,0,0,0,0,0,0,0
,,,,3.0184,-46.3145,-3.7,0,0,0,0,0,0,0,0,0,0,0
,,,,3.0434,-46.3145,-3.6,0,0,0,0,0,0,0,0,0,0,0
,,,,3.0684,-46.3144,-3.5,0,0,0,0,0,0,0,0,0,0,0
,,,,3.0934,-46.3143,-3.4,0,0,0,0,0,0,0,0,0,0,0
,,,,3.1184,-46.3143,-3.3,0,0,0,0,0,0,0,0,0,0,0
,,,,3.1434,-46.3143,-3.2,0,0,0,0,0,0,0,0,0,0,0
,,,,3.1684,-46.3143,-3.1,0,0,0,0,0,0,0,0,0,0,0
,,,,3.1934,-46.3142,-3,0,0,0,0,0,0,0,0,0,0,0
,,,,3.2288,-46.3143,-2.9,0,0,0,0,0,0,0,0,0,0,0
,,,,3.2641,-46.3143,-2.8,0,0,0,0,0,0,0,0,0,0,0
,,,,3.2995,-46.3144,-2.7,0,0,0,0,0,0,0,0,0,0,0
,,,,3.3348,-46.3144,-2.6,0,0,0,0,0,0,0,0,0,0,0
,,,,3.3702,-46.3145,-2.5,0,0,0,0,0,0,0,0,0,0,0
,,,,3.4056,-46.3147,-2.4,0,0,0,0,0,0,0,0,0,0,0
,,,,3.4409,-46.3148,-2.3,0,0,0,0,0,0,0,0,0,0,0
,,,,3.4763,-46.315,-2.2,0,0,0,0,0,0,0,0,0,0,0
,,,,3.5116,-46.3151,-2.1,0,0,0,0,0,0,0,0,0,0,0
,,,,3.547,-46.3153,-2,0,0,0,0,0,0,0,0,0,0,0
,,,,3.5823,-46.3154,-1.9,0,0,0,0,0,0,0,0,0,0,0
,,,,3.6177,-46.3156,-1.8,0,0,0,0,0,0,0,0,0,0,0
,,,,3.653,-46.3158,-1.7,0,0,0,0,0,0,0,0,0,0,0
,,,,3.6884,-46.3159,-1.6,0,0,0,0,0,0,0,0,0,0,0
,,,,3.7238,-46.316,-1.5,0,0,0,0,0,0,0,0,0,0,0
,,,,3.7591,-46.3161,-1.4,0,0,0,0,0,0,0,0,0,0,0
,,,,3.7945,-46.3162,-1.3,0,0,0,0,0,0,0,0,0,0,0
,,,,3.8298,-46.3163,-1.2,0,0,0,0,0,0,0,0,0,0,0
,,,,3.8652,-46.3163,-1.1,0,0,0,0,0,0,0,0,0,0,0
,,,,3.9005,-46.3163,-1,0,0,0,0,0,0,0,0,0,0,0
,,,,3.9005,-46.316,-0.9,0,0,0,0,0,0,0,0,0,0,0
,,,,3.9248,-46.316,-0.8,0,0,0,0,0,0,0,0,0,0,0
,,,,3.9492,-46.3159,-0.7,0,0,0,0,0,0,0,0,0,0,0
,,,,3.9735,-46.3159,-0.6,0,0,0,0,0,0,0,0,0,0,0
,,,,3.9978,-46.3159,-0.5,0.0000896,0.284,0.284,0.00000572,0.0000329,0.0106,0.0106,0.00213,0.0326,0.0348,0.33
,,,,4.0221,-46.3159,-0.4,0.000251,0.547,0.547,0.0000256,0.0000445,0.0183,0.0184,0.00619,0.0577,0.0639,0.63
,,,,4.0464,-46.3158,-0.3,0.000513,0.881,0.882,0.0000836,0.0000573,0.0253,0.0254,0.014,0.0839,0.0979,1.01
,,,,4.0707,-46.3158,-0.2,0.000891,1.25,1.25,0.000214,0.0000717,0.0295,0.0298,0.0263,0.106,0.132,1.42
,,,,4.0951,-46.3157,-0.1,0.00151,1.89,1.89,0.000507,0.000106,0.0345,0.0351,0.0485,0.139,0.188,2.12
,,,,4.1194,-46.3157,0,0.00287,3.23,3.23,0.00119,0.000211,0.0387,0.0401,0.101,0.201,0.302,3.57
,,,,4.1437,-46.3156,0.1,0.00524,8.09,8.1,0.00324,0.0025,0.0511,0.0568,0.167,0.471,0.638,8.79
,,,,4.168,-46.3156,0.2,0.00532,4.57,4.58,0.00428,0.000813,0.0376,0.0427,0.0929,0.194,0.287,4.91
,,,,4.1923,-46.3155,0.3,0.00687,3.01,3.02,0.00349,0.00035,0.0181,0.0219,0.0746,0.0846,0.159,3.2
,,,,4.2166,-46.3155,0.4,0.0132,6.36,6.37,0.0162,0.000805,0.0241,0.0412,0.247,0.0919,0.339,6.76
,,,,4.241,-46.3154,0.5,0.00000174,0.0548,0.0548,0.000533,0.00000144,0.000129,0.000664,0.00447,0.000375,0.00485,0.0603
,,,,4.2653,-46.3154,0.6,0,0,0,0,0,0,0,0,0,0,0
,,,,4.2896,-46.3153,0.7,0,0,0,0,0,0,0,0,0,0,0
,,,,4.3139,-46.3153,0.8,0,0,0,0,0,0,0,0,0,0,0
,,,,4.3382,-46.3153,0.9,0,0,0,0,0,0,0,0,0,0,0
,,,,4.3625,-46.3153,1,0,0,0,0,0,0,0,0,0,0,0
,,,,4.3868,-46.3153,1.1,0,0,0,0,0,0,0,0,0,0,0
,,,,4.3868,-46.3149,1.2,0,0,0,0,0,0,0,0,0,0,0
,,,,4.4112,-46.3149,1.3,0,0,0,0,0,0,0,0,0,0,0
,,,,4.4355,-46.3149,1.4,0,0,0,0,0,0,0,0,0,0,0
,,,,4.4598,-46.3149,1.5,0,0,0,0,0,0,0,0,0,0,0
,,,,4.4841,-46.3149,1.6,0,0,0,0,0,0,0,0,0,0,0
,,,,4.5084,-46.3148,1.7,0,0,0,0,0,0,0,0,0,0,0
,,,,4.5327,-46.3148,1.8,0,0,0,0,0,0,0,0,0,0,0
,,,,4.5571,-46.3147,1.9,0,0,0,0,0,0,0,0,0,0,0
,,,,4.5814,-46.3147,2,0,0,0,0,0,0,0,0,0,0,0
,,,,4.6057,-46.3146,2.1,0,0,0,0,0,0,0,0,0,0,0
,,,,4.63,-46.3146,2.2,0,0,0,0,0,0,0,0,0,0,0
,,,,4.6543,-46.3145,2.3,0,0,0,0,0,0,0,0,0,0,0
,,,,4.6786,-46.3145,2.4,0,0,0,0,0,0,0,0,0,0,0
,,,,4.703,-46.3144,2.5,0,0,0,0,0,0,0,0,0,0,0
,,,,4.7273,-46.3144,2.6,0,0,0,0,0,0,0,0,0,0,0
,,,,4.7516,-46.3143,2.7,0,0,0,0,0,0,0,0,0,0,0
,,,,4.7759,-46.3143,2.8,0,0,0,0,0,0,0,0,0,0,0
,,,,4.8002,-46.3143,2.9,0,0,0,0,0,0,0,0,0,0,0
,,,,4.8245,-46.3143,3,0,0,0,0,0,0,0,0,0,0,0
,,,,4.8488,-46.3143,3.1,0,0,0,0,0,0,0,0,0,0,0
,,,,4.8732,-46.3142,3.2,0,0,0,0,0,0,0,0,0,0,0
,,,,,,3.3,0,0,0,0,0,0,0,0,0,0,0
,,,,0,-22.6219,3.4,0,0,0,0,0,0,0,0,0,0,0
,,,,0.025,-22.6218,3.5,0,0,0,0,0,0,0,0,0,0,0
,,,,0.05,-22.6218,3.6,0,0,0,0,0,0,0,0,0,0,0
,,,,0.075,-22.6217,3.7,0,0,0,0,0,0,0,0,0,0,0
,,,,0.1,-22.6217,3.8,0,0,0,0,0,0,0,0,0,0,0
,,,,0.125,-22.6215,3.9,0,0,0,0,0,0,0,0,0,0,0
,,,,0.15,-22.6214,4,0,0,0,0,0,0,0,0,0,0,0
,,,,0.175,-22.6213,4.1,0,0,0,0,0,0,0,0,0,0,0
,,,,0.2,-22.6211,4.2,0,0,0,0,0,0,0,0,0,0,0
,,,,0.225,-22.6209,4.3,0,0,0,0,0,0,0,0,0,0,0
,,,,0.25,-22.6208,4.4,0,0,0,0,0,0,0,0,0,0,0
,,,,0.275,-22.6206,4.5,0,0,0,0,0,0,0,0,0,0,0
,,,,0.3,-22.6204,4.6,0,0,0,0,0,0,0,0,0,0,0
,,,,0.325,-22.6203,4.7,0,0,0,0,0,0,0,0,0,0,0
,,,,0.35,-22.6201,4.8,0,0,0,0,0,0,0,0,0,0,0
,,,,0.375,-22.62,4.9,0,0,0,0,0,0,0,0,0,0,0
,,,,0.4,-22.6199,5,0,0,0,0,0,0,0,0,0,0,0
